epoch,epoch_best,dur,loss,rand_train,rand_val,rand_val_best,rand_test
0,0,1.0329616069793701,3.3295416831970215,0.027858580215200643,0.030384792007999928,0.030384792007999928,0.034850499687123934
1,1,0.9606127738952637,1.5891027450561523,0.25782908327629084,0.22742476903334619,0.22742476903334619,0.22095855067400844
2,2,0.7874753475189209,0.9981889128684998,0.44703284765854995,0.373824091077055,0.373824091077055,0.38296525845236223
3,3,1.0003302097320557,0.8744285106658936,0.5385876719394491,0.5639702619061984,0.5639702619061984,0.5247802145666457
4,4,1.2853524684906006,0.7667893171310425,0.589482797214044,0.603171203213951,0.603171203213951,0.5205394069000955
5,4,1.3106882572174072,0.7127920985221863,0.6305456975889336,0.5753393102801322,0.603171203213951,0.5867299883383214
6,4,1.0082755088806152,0.6735218167304993,0.6495473292161963,0.5857415820091654,0.603171203213951,0.6108993059245907
7,7,1.148625135421753,0.5996658802032471,0.6671098007395312,0.6413039471552444,0.6413039471552444,0.6233629359850591
8,7,1.1299574375152588,0.5373499393463135,0.701315421855885,0.575438807805843,0.6413039471552444,0.643538999395207
9,9,1.0798461437225342,0.5471232533454895,0.6986453295356337,0.6637218029677094,0.6637218029677094,0.6258606930868827
10,9,0.9173243045806885,0.524054229259491,0.7130616095011495,0.6493562278362806,0.6637218029677094,0.6195700792604455
11,9,1.1171939373016357,0.4729616045951843,0.7194400908392337,0.5796103370944028,0.6637218029677094,0.6511577857089954
12,12,1.0066921710968018,0.4184996783733368,0.7436156306022214,0.6745121811735103,0.6745121811735103,0.6525318871398956
13,12,1.1131312847137451,0.43462491035461426,0.7400108339073119,0.6017153462975937,0.6745121811735103,0.650480807731148
14,12,1.3831007480621338,0.46606335043907166,0.7298186075540773,0.5767836439764168,0.6745121811735103,0.6312219115721442
15,12,1.2245020866394043,0.4191817045211792,0.7439418722703997,0.636106946357216,0.6745121811735103,0.6591210210598686
16,16,1.3256385326385498,0.3665962517261505,0.7840914556240759,0.6825404636251858,0.6825404636251858,0.6732190172844456
17,17,1.1935341358184814,0.3625416159629822,0.7655504628496256,0.6983960396171193,0.6983960396171193,0.6963258227921175
18,17,1.0772252082824707,0.34840214252471924,0.7797994664073609,0.6777438314178688,0.6983960396171193,0.6549978335092494
19,19,1.1208014488220215,0.32704803347587585,0.7914011691483303,0.7263477942806145,0.7263477942806145,0.6741929096296587
20,19,1.1408843994140625,0.33548876643180847,0.7730333883222307,0.7058257933828495,0.7263477942806145,0.6947149206041183
21,19,1.1951754093170166,0.3266063928604126,0.7988456710106034,0.6327838116338386,0.7263477942806145,0.6769337085570399
22,19,1.310509204864502,0.3198423683643341,0.7964948834232494,0.665486871901993,0.7263477942806145,0.6876010616261884
23,19,1.2594428062438965,0.3283017575740814,0.773119918827678,0.6966670684907488,0.7263477942806145,0.6878005614832128
24,19,1.5729727745056152,0.29997584223747253,0.8025170215912716,0.6303293111343472,0.7263477942806145,0.6741848869272837
