epoch,epoch_best,dur,loss,rand_train,rand_val,rand_val_best,rand_test
0,0,0.28118205070495605,1.9163246154785156,0.048387646532895984,0.019050210913049412,0.019050210913049412,-0.0013720736045170889
1,1,0.31243157386779785,1.4774256944656372,0.3103125379730041,0.14046429620922712,0.14046429620922712,0.17820009145500815
2,1,0.3742079734802246,1.2453820705413818,0.4844997607886132,0.09124623889161013,0.14046429620922712,0.17733197741369308
3,1,0.35926151275634766,1.100028395652771,0.5738473067701076,0.08524733906520203,0.14046429620922712,0.2210532965848126
4,4,0.3175492286682129,0.9844765663146973,0.6375340971753432,0.2689675691758405,0.2689675691758405,0.26237545179434996
5,4,0.3749101161956787,0.867520809173584,0.7534651514156211,0.2689675691758405,0.2689675691758405,0.30383747656252375
6,6,0.390533447265625,0.7376978993415833,0.7549171831827347,0.3695297191378184,0.3695297191378184,0.31978843704089777
7,6,0.3749094009399414,0.5933310389518738,0.8227058076275165,0.31437660453175575,0.3695297191378184,0.31776424403021913
8,6,0.3905336856842041,0.5016360282897949,0.8211062249837147,0.19533946340848973,0.3695297191378184,0.31087002479346443
9,6,0.38974714279174805,0.4325771927833557,0.914167053848269,0.20021795125817315,0.3695297191378184,0.2661479494841556
10,6,0.38007140159606934,0.37075093388557434,0.9590170338371009,0.1502510129711271,0.3695297191378184,0.2550863184889903
11,6,0.390533447265625,0.2824612855911255,0.968677873745932,0.15132982506044662,0.3695297191378184,0.3009791024569567
