,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
94,opti_keywords-68,True,True,True,True,False,2,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:32:46,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4864041341790607,0.5017841533932498,1.779865718947225,1.0,1.0,0.0,0.6924034869240349,0.7779427318692436,0.476063054191628,0.4733656943308833,0.49278515788004074,1.8071616987802812,2.0
95,opti_keywords-224,True,True,True,True,False,4,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:03:15,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6138532771182239,0.6079995357102915,1.4048702490930673,0.8952507027879268,0.8949548238510066,0.3748063916039266,0.44236401258456876,0.49914988881115513,1.5343196942826927,0.5692489075150197,0.5652461054393119,1.5509341255954778,2.0
96,opti_keywords-175,True,True,True,True,False,3,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:35:28,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7767727201495539,0.7379594970538585,0.9538487897963597,0.9414561398574044,0.9252396985181622,0.2702276005912094,0.8062455797539974,0.7913744390394997,0.7381774369855787,0.6955909323041242,0.655628715769813,1.2428430339988918,
97,opti_keywords-188,True,True,True,True,False,4,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 19:43:23,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4452981124694264,0.47645347294906065,1.8515161249278367,0.9721816910784337,0.9766896553407387,0.07636472463403532,0.3993940924009089,0.43184740114055037,1.2498333977256015,0.429694172734572,0.45661714408741816,1.9192480373405385,2.0
98,opti_keywords-104,True,True,True,True,False,2,5,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:54:32,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6176724582198058,0.6124980446659593,1.3755686933368683,0.8451259310930909,0.8454928007448279,0.5425096465778632,0.5183143255959501,0.5870559641601102,1.3367109324832338,0.5902755099574251,0.5886691975669522,1.4566384505663161,2.0
99,opti_keywords-120,True,True,True,True,False,3,1,0.01,0.01,GCN_Net,keywords,False,2020-01-19 19:01:54,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.3970822184686944,0.4013907020942417,1.9802507868712196,0.6993059460717265,0.7273397188383566,0.7970976671957546,0.6879383581942111,0.6997605017568378,0.6263023870025248,0.38732171265082627,0.3872831145703234,2.0164282307266195,
100,opti_keywords-277,True,True,True,True,False,5,3,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 20:31:04,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7101962120020991,0.6710913277628912,1.2036783878003225,0.9675395845947724,0.9592703621773361,0.14504253477305662,0.6325089008664728,0.6591683161767303,1.1412599772153893,0.6565509865633361,0.6227602800604786,1.3724416539626114,
101,opti_keywords-51,True,True,True,True,False,1,3,0.01,0.01,GCN_Net,keywords,False,2020-01-19 18:23:15,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6749860095062634,0.654802521661762,1.2492123013261498,0.8360400275969706,0.8083054056675476,0.6873606870025384,0.6898634267766122,0.6886922463585375,1.0285498090655807,0.5931344254749847,0.5872939095073297,1.4927597260815948,
102,opti_keywords-214,True,True,True,True,False,4,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:57:03,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.6803278575252822,0.65280221081635,1.277126355480756,0.9721281939239773,0.9578280822773034,0.15204407981571588,0.5168221205075505,0.5850238342981874,1.3363873509628377,0.6369010306486008,0.6129581526571537,1.421508141792641,
103,opti_keywords-49,True,True,True,True,False,1,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:24:10,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7516912758719392,0.7172958359003708,1.035458097747977,0.917354876245472,0.8877072125776155,0.4042486237025411,0.7386317532056531,0.7216068429204732,0.9407278906953871,0.6692207731600724,0.6504765251100634,1.2839614754273274,
104,opti_keywords-366,True,True,True,True,False,7,3,0.01,0.01,GCN_Net,keywords,False,2020-01-19 21:20:45,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.47171569047955947,0.478086917653072,1.7914869097324049,0.7429255507006421,0.7249538366421763,0.8488211162520876,0.33050757656034757,0.4131627989753609,1.3639215682857913,0.4635602343172323,0.47536151180477626,1.8018602020017183,
105,opti_keywords-21,True,True,True,True,False,1,3,0.01,0.01,GCN_Net,keywords,False,2020-01-19 18:05:05,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4752530267880872,0.4728578456603265,1.8245009503278908,0.8452874591207551,0.7950889618537448,0.6749123095924099,0.6516150780150256,0.624654424958245,1.0416428244639766,0.4202736882227873,0.4313553204289675,1.9641519877229727,
106,opti_keywords-252,True,True,True,True,False,5,5,0.01,0.01,GCN_Net,keywords,False,2020-01-19 20:15:41,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.24801265692908686,0.2607565486985525,2.1041549418778898,0.46430186506447085,0.525501707717177,1.2784029528955365,0.25459088069956276,0.24042379207648237,1.7579666032502776,0.24402873119325721,0.2585591313285112,2.1059271566619175,
107,opti_keywords-487,True,True,True,True,False,9,3,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 22:30:45,0.04,0.01,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.48904083447883195,0.521772243966169,1.7599953774106323,1.0,1.0,0.0,0.36168426942715254,0.40590546203413275,1.352177001305324,0.47510105904267047,0.5136172510417102,1.783767300307451,
