,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
14,compare_residual-32,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:55:18,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7731614847916434,0.7339971473851805,0.9729805923321417,0.9831004700333381,0.9813536314993653,0.06776805602141689,0.6733916915329576,0.679850548779269,1.1046872748478869,0.6848191520719732,0.6477829877934342,1.283824535208748
15,compare_residual-18,True,True,False,False,False,5,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:46:14,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7735494579258541,0.7351904647384697,0.9694900096370791,0.9874138598817432,0.9867804091693041,0.048227668987425254,0.7212122709312165,0.6984139838561859,1.028811951661071,0.678747146237964,0.6445398954054904,1.2957362799945171
16,compare_residual-12,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:43:14,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7690748914746183,0.736063077470702,0.9675553180186469,0.9180098687018521,0.9029816429256236,0.3502145881697878,0.751289213664071,0.7613064565733255,0.8368309647510412,0.6960232244288981,0.6682942868738426,1.2144074585219418
17,compare_residual-3,True,True,False,False,False,1,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:39:00,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.746428626742694,0.705137579084765,1.0823359115323452,0.975640136458284,0.9645813786379471,0.12751841194485758,0.7297190282415315,0.7295032771365367,0.9264627252873496,0.6350841491252138,0.6080387114080652,1.4430045597007122
18,compare_residual-16,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:46:45,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7826457152527563,0.7405035299351556,0.9498988478883961,1.0,1.0,0.0,0.7663572071076838,0.7265329862899211,0.9338340453793346,0.6824223687289486,0.6458787497010154,1.2909897094619258
19,compare_residual-36,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:58:08,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7494431362719186,0.7109405173532333,1.0570027764032512,0.99308460555107,0.9929975814347429,0.025298397901264202,0.624954793984826,0.6568976874003507,1.2120887666021196,0.650282214694388,0.614855323913213,1.4005607145570997
20,compare_residual-19,True,True,False,False,False,5,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:45:47,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7661916427092902,0.7270424407375671,1.0014532573995125,0.9195947602952302,0.9113311068165618,0.3236276433445209,0.75642049695911,0.7327665436543709,0.9204613184468435,0.6932027420387209,0.6549910021635461,1.2602996030655302
21,compare_residual-37,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:57:56,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7234975926097551,0.6848184563219228,1.1551570898451766,0.9798292221453572,0.9754759777535146,0.08845664429995281,0.5867913067286615,0.6101766072438172,1.3786103004095076,0.6192006436869105,0.5887208954441956,1.501929357429316
22,compare_residual-28,True,True,False,False,False,8,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:52:14,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7784838951691521,0.7441283875720998,0.9377477237915928,0.969713544581188,0.9573006374744647,0.15557526549715517,0.7533779612251056,0.7230278990269174,0.9489823911824447,0.6900846339652513,0.6646255040380619,1.2264057597052735
23,compare_residual-10,True,True,False,False,False,3,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:42:43,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7724449429127087,0.7316863721085701,0.979315333253473,0.990922621246823,0.9884650842075193,0.041703312710622775,0.7556993401157563,0.7559495030801894,0.8653341234566887,0.673853573852658,0.6326674295140177,1.3313055986531706
