,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
328,opti_keywords-47,True,True,True,True,False,1,1,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 18:20:24,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6261299956987721,0.6235037019695548,1.352371539024233,0.8147019135496614,0.8057335506289759,0.6919407239703954,0.6466611111187018,0.6427488290152011,1.1753675191826423,0.5326015761957137,0.5476593605466759,1.6226134829629268,2.0
331,opti_keywords_gcn-175,True,True,True,True,False,9,1,0.005,0.01,GCN_Net,keywords,False,2020-01-23 15:00:04,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5431617446601888,0.5670558904633024,1.4243964033170673,0.6197027490797863,0.6509951020343792,1.1510923328324738,0.5436098282984743,0.5795512598337211,1.3114985474390062,0.5037651448163901,0.5321360342787071,1.5301376061439265,
332,opti_keywords_lr2-9,True,True,True,True,False,2,1,0.005,0.01,GCN_Net,keywords,False,2020-01-23 11:47:37,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6010174807020646,0.5760131434926368,1.5233564546689262,0.9372142437099735,0.9115658679205375,0.3091803270020774,0.5975521563814866,0.6763640986028284,0.9399221048781277,0.5911921670967842,0.5745465683410226,1.5228162946587105,
333,opti_keywords_gcn-101,True,True,True,True,False,6,2,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:34:51,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.512391014086307,0.47454536783866463,1.8567284468731502,0.8535713547720019,0.8275898962303897,0.5441278682432218,0.5307353150334234,0.5134973680713559,1.1101936222545574,0.5050226761040838,0.468067113156435,1.8845861766299685,
334,opti_keywords-112,True,True,True,True,False,2,3,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:59:37,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7525804531731012,0.7152625260738249,1.0398689491478748,0.9084850451087741,0.8916558475147907,0.389334508708588,0.7099124595276453,0.6762641220902411,1.130755589179533,0.6782775783044687,0.6496999126803856,1.2789244764439007,
337,opti_keywords-34,True,True,True,True,False,1,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:14:04,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.6789523914585325,0.6528416756349502,1.2741274281241934,0.9753883678507906,0.9681962277039169,0.11103463151089699,0.6175146092327183,0.6674070801384738,1.0847570132860116,0.6199690413970415,0.6063103845674371,1.4460941986249978,
338,opti_keywords-146,True,True,True,True,False,3,4,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 19:16:48,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.49118024839775254,0.5365672522339227,1.6266539731970173,0.9078028213002967,0.9187325946383386,0.27716022837336496,0.5552758047589664,0.6554902649390565,0.9375424460764856,0.47236294049781513,0.5106390848111656,1.7028007707009827,2.0
339,opti_keywords-563,True,True,True,True,False,10,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 23:14:26,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5118140970635053,0.5434731243525385,1.6052149397541946,0.965093096080084,0.9631465986312522,0.12724668778502712,0.46440225972841154,0.6110425759763981,1.1493723216412208,0.47410984773783443,0.5180704301679947,1.6656806910828361,2.0
343,opti_keywords_gcn-92,True,True,True,True,False,5,3,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:31:18,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5913719817688212,0.5918653989295648,1.4492075770108945,0.7576466606775377,0.7519248922985599,0.8631330010589138,0.4512106524402806,0.5095871442983834,1.5797863034320652,0.5672450187342121,0.5743557991120536,1.4968925815258047,
344,opti_keywords_gcn-125,True,True,True,True,False,7,1,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:43:29,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4604858887433648,0.48368473966235453,1.7095511973146515,0.7969799391671795,0.7899060877205195,0.6630803174721329,0.43116794300979516,0.4524824640386997,1.4764370887050409,0.43929979190846213,0.46957503950100854,1.7542189060136852,
